id,Vendidos,Precio,Calificación promedio,Número de calificaciones,Carac_1,CalfC_1,Carac_2,CalfC_2,Carac_3,CalfC_3,Carac_4,CalfC_4,Carac_5,CalfC_5
CBPV3PHS,5mil,298,4.8,683,Relación precio-calidad,4.8,Instalación,4.8,Calidad de los materiales,4.8,Resistencia,4.8,,
DDCAB,100,126,4.1,16,Relación precio-calidad,4.1,Facilidad de uso,4.1,Calidad de los materiales,4.1,Duración de la batería,4.1,,
CDADOTP,1000,283.43,4.9,97,,,,,,,,,,
1TPABH2D,1000,95.20,4.7,251,,,,,,,,,,
FDRECRDCPM,1000,252.02,4.9,124,,,,,,,,,,
LDLDÁDP3LN,1000,169.99,4.8,54,,,,,,,,,,
CDDÁMT,50,339.48,4.8,10,Relación precio-calidad,4.8,Calidad de la imagen,4.8,Calidad de las terminaciones,4.8,,,,
CN3*CCA,10mil,238,4.3,"1,608",Relación precio-calidad,4.3,Calidad de los materiales,4.3,Resistencia,4.3,Instalación,4.3,,
BHPPDBDG5B,1000,79,4.7,98,,,,,,,,,,
QDICRDHCC,500,179.01,4.6,107,,,,,,,,,,
CSL3LDU8M32,1000,147.63,4.8,85,Relación precio-calidad,4.8,Calidad de la iluminación,4.8,,,,,,
RDPLRTY4A3C,100,420.76,4.6,27,Relación precio-calidad,4.6,Calidad de los materiales,4.6,,,,,,
MHHMGCG1H,5,"1,433.54",5.0,2,,,,,,,,,,
1VDDAC,1000,109.45,4.9,87,Relación precio-calidad,4.9,Calidad de los materiales,4.9,Calidad de las terminaciones,4.9,,,,
GPCDB2PP,100,149,4.9,25,,,,,,,,,,
1MD3PCMH,500,151.63,5.0,59,Calidad de las terminaciones,5.0,Instalación,5.0,Relación precio-calidad,5.0,,,,
1CDLHCP22LF,5mil,119.49,4.7,473,,,,,,,,,,
PPNDNEDVG,100,459,4.9,9,Relación precio-calidad,4.9,Calidad de la imagen,4.9,Calidad de las terminaciones,4.9,,,,
PAECDDCA,500,203.93,4.4,51,,,,,,,,,,
GPVTC1L,1000,149,4.7,39,,,,,,,,,,
2PDRADSRYB,100,102.35,4.9,15,,,,,,,,,,
1BHBGB7PP,100,148.99,4.9,8,,,,,,,,,,
MSLNSLPEB,500,147.42,4.4,17,,,,,,,,,,
MPTP2DC,100,360.05,4.7,43,Calidad de las terminaciones,4.7,Relación precio-calidad,4.7,Calidad de la imagen,4.7,,,,
6BDAPGRYE,5mil,296.95,4.4,850,,,,,,,,,,
RERP+CTAE1I,1000,289.58,4.8,190,,,,,,,,,,
CBREL2,1000,482.98,4.8,314,Relación precio-calidad,4.8,Instalación,4.8,Calidad de los materiales,4.8,Resistencia,4.8,,
GDL1FELI1,500,813.62,4.6,40,Relación precio-calidad,4.6,Calidad de la iluminación,4.6,,,,,,
CDJHDÁ7P,100,597.54,4.9,37,Relación precio-calidad,4.9,Calidad de la imagen,4.9,Calidad de las terminaciones,4.9,,,,
6P6TDHDPAM,100,138.72,4.7,23,,,,,,,,,,
2PAH1TPFD,100,110.39,5.0,14,,,,,,,,,,
4PABFCVF,50,111.62,4.4,7,,,,,,,,,,
PD3HIP51,50,669,0,0,,,,,,,,,,
CDCFHT,1000,201.40,4.9,156,Relación precio-calidad,4.9,Calidad de la imagen,4.9,Calidad de las terminaciones,4.9,,,,
CDBDVLCC221,500,116.98,4.8,25,Relación precio-calidad,4.8,Calidad de la iluminación,4.8,,,,,,
1PVTLFSADAC,1000,160.06,4.5,120,Relación precio-calidad,4.5,Calidad de los materiales,4.5,Calidad de las terminaciones,4.5,,,,
CBCA2AHJ2P,100,502.55,4.9,27,Relación precio-calidad,4.9,Instalación,4.9,Calidad de los materiales,4.9,Resistencia,4.9,,
L11FWBFD,1000,136.36,4.7,113,,,,,,,,,,
DDCAB,100,126,4.1,16,Relación precio-calidad,4.1,Facilidad de uso,4.1,Calidad de los materiales,4.1,Duración de la batería,4.1,,
CBPVTP1,10mil,298,4.8,"2,345",Relación precio-calidad,4.8,Calidad de los materiales,4.8,Instalación,4.8,Resistencia,4.8,,
LDLPÁF1LN,1000,189.99,4.9,97,,,,,,,,,,
CDTSÁMT,25,339.48,4.7,10,Relación precio-calidad,4.7,Calidad de la imagen,4.7,Calidad de las terminaciones,4.7,,,,
PAMDHD2M1T,1000,108.63,4.8,209,,,,,,,,,,
6BDAPGR1P,100,293.58,4.7,17,,,,,,,,,,
1P3CMMDDP,500,121.05,4.8,82,Relación precio-calidad,4.8,Instalación,4.8,Calidad de las terminaciones,4.8,,,,
CAPDJCCR,100,454.90,4.3,28,,,,,,,,,,
CMDISX7B,1000,149,4.9,459,Relación precio-calidad,4.9,Calidad de las terminaciones,4.9,Calidad de la imagen,4.9,,,,
SX9CBMDMN,1000,249,4.8,870,Relación precio-calidad,4.8,Calidad de las terminaciones,4.8,Calidad de la imagen,4.8,,,,
CDDV5NEP,1000,136.89,4.8,144,Relación precio-calidad,4.8,Calidad de la imagen,4.8,Calidad de las terminaciones,4.8,,,,
GDLSNI22F,1000,198.14,4.6,190,,,,,,,,,,
CBEMPS,1000,131.62,4.1,90,Relación precio-calidad,4.1,Instalación,4.1,Calidad de los materiales,4.1,Resistencia,4.1,,
CDCZI2P,500,178.13,4.6,27,,,,,,,,,,
6BDHDDP9M,500,92.31,4.6,50,,,,,,,,,,
1EAPCD,1000,117.06,4.6,45,,,,,,,,,,
FDDCCDNPEH,100,176.73,4.8,12,,,,,,,,,,
1MTCDRCV,100,880.52,3.9,16,Relación precio-calidad,3.9,Calidad de la imagen,3.9,Calidad de las terminaciones,3.9,,,,
RDDBBNYRF,5mil,183.75,4.1,621,Relación precio-calidad,4.1,Facilidad de uso,4.1,Calidad de los materiales,4.1,Duración de la batería,4.1,,
RDPCGMLRDP,1000,157.95,4.7,166,Relación precio-calidad,4.7,Calidad de los materiales,4.7,,,,,,
6GFCDEA,100,219,4.8,26,,,,,,,,,,
CPBEE,1000,569.05,4.7,303,Relación precio-calidad,4.7,Facilidad al limpiar,4.7,Calidad de los materiales,4.7,Practicidad,4.7,,
CN2*CCA,5mil,177,4.2,346,Relación precio-calidad,4.2,Instalación,4.2,Calidad de los materiales,4.2,Resistencia,4.2,,
LNE5PDDPD,1000,228.15,4.8,222,Relación precio-calidad,4.8,Calidad de las terminaciones,4.8,Calidad de la imagen,4.8,,,,
GDLS21FEJ8M,500,284.31,4.5,49,Relación precio-calidad,4.5,Calidad de la iluminación,4.5,,,,,,
QDIDCCCDR,500,189.36,4.4,102,Relación precio-calidad,4.4,Calidad de los materiales,4.4,Calidad de las terminaciones,4.4,,,,
CFRADBF4,500,139,4.6,55,,,,,,,,,,
7P1TTHAPD,500,207.09,4.7,61,,,,,,,,,,
P5DDDKPDDH,1000,143.29,4.8,142,Calidad de la imagen,4.8,Relación precio-calidad,4.8,Calidad de las terminaciones,4.8,,,,
SL2L2MSE2,1000,175.50,4.5,156,,,,,,,,,,
PAGHDU2M1U,100,126.43,4.6,5,,,,,,,,,,
CB2AX2DLE2P,10mil,498,4.7,"2,066",Relación precio-calidad,4.7,Resistencia,4.7,Instalación,4.7,Calidad de los materiales,4.7,,
