id,Vendidos,Precio,Calificación promedio,Número de resenas,Calf_int_1,Calf_int_2,Calf_int_3,Calf_int_4,Calf_int_5,Carac_1,CalfC_1,Carac_2,CalfC_2,Carac_3,CalfC_3,Carac_4,CalfC_4,Carac_5,CalfC_5
SS4CPPAG,500,298.Nuevo  |  +500 vendidos,4.6,73,73.97%;,15.07%;,6.85%;,1.37%;,2.74%;,Calidad de los materiales,4.6,Relación precio-calidad,4.7,Instalación,4.6,Practicidad,4.7,Calidad del ajuste,4.6
PDH3IP51,100,735.16,4.9,9,88.89%;,11.11%;,0%;,0%;,0%;,,,,,,,,,,
RDPCGMLRDP,1000,135.54,4.6,178,76.4%;,17.42%;,3.37%;,0%;,2.81%;,Relación precio-calidad,4.6,Calidad de los materiales,4.6,,,,,,
MHHMGCG1H,5,"1,433.54",5.0,2,100%;,0%;,0%;,0%;,0%;,,,,,,,,,,
LDHCPLDC221,500,117.02,4.9,27,92.59%;,7.41%;,0%;,0%;,0%;,,,,,,,,,,
CPDADSHE,100,233.10,4.4,18,55.56%;,27.78%;,16.67%;,0%;,0%;,Relación precio-calidad,3.7,Duración,3.2,Calidad de los materiales,3.4,Practicidad,3.9,,
1PVADS,1000,120.Nuevo  |  +1000 vendidos,4.6,162,80.86%;,8.64%;,4.94%;,1.85%;,3.7%;,Calidad de los materiales,4.6,Relación precio-calidad,4.7,Calidad de las terminaciones,4.8,,,,
LYNL3LFLDA,10mil,99.Nuevo  |  +10mil vendidos,4.7,582,83.85%;,10.65%;,3.26%;,0.86%;,1.37%;,,,,,,,,,,
SX9CBMDMN,1000,241.Nuevo  |  +1000 vendidos,4.8,879,88.51%;,8.53%;,2.05%;,0.34%;,0.57%;,Relación precio-calidad,4.7,Calidad de las terminaciones,4.6,Calidad de la imagen,4.7,,,,
GDL2FVD1PE,1000,206.51,4.9,120,89.17%;,8.33%;,1.67%;,0%;,0.83%;,,,,,,,,,,
RDDBBYRF,1000,216.Nuevo  |  +1000 vendidos,4.1,470,56.17%;,19.15%;,13.4%;,5.32%;,5.96%;,Relación precio-calidad,4.4,Facilidad de uso,4,Duración de la batería,3.4,Calidad de los materiales,4.2,,
RDDBBNYRF,5mil,181.24,4.1,657,55.56%;,17.81%;,13.85%;,6.39%;,6.39%;,Relación precio-calidad,4.4,Facilidad de uso,4.2,Calidad de los materiales,4.2,Duración de la batería,3.9,,
PPNDNEDVG,100,459.Nuevo  |  +100 vendidos,4.9,12,91.67%;,8.33%;,0%;,0%;,0%;,Relación precio-calidad,4.6,Calidad de la imagen,4.6,Calidad de las terminaciones,4.5,,,,
VDACPDCDS6P,1000,129.31,4.8,352,85.51%;,8.81%;,3.41%;,0.85%;,1.42%;,Calidad de los materiales,4.7,Calidad de las terminaciones,4.7,Relación precio-calidad,4.7,,,,
CSL3LDU8M3,100mil,88.97,4.7,"3,765",81.78%;,11.5%;,3.61%;,0.96%;,2.15%;,,,,,,,,,,
PDLPDP3TPT,1000,128.09,4.5,202,74.26%;,14.85%;,6.44%;,0.5%;,3.96%;,,,,,,,,,,
TDLLAWRVCI2,500,332.35,4.6,77,76.62%;,10.39%;,9.09%;,1.3%;,2.6%;,Relación precio-calidad,4.5,Calidad de la iluminación,4.8,,,,,,
GDL2FDEV1,10mil,228.98,4.7,787,82.08%;,11.69%;,3.05%;,1.14%;,2.03%;,,,,,,,,,,
MPTP2DC,100,379.Nuevo  |  +100 vendidos,4.7,44,81.82%;,11.36%;,2.27%;,0%;,4.55%;,Calidad de las terminaciones,4.5,Relación precio-calidad,4.5,Calidad de la imagen,4.7,,,,
CBATL1H1,1000,168.77,4.8,203,88.18%;,7.39%;,2.46%;,0.49%;,1.48%;,Instalación,4.9,Calidad de los materiales,4.7,Relación precio-calidad,4.8,Resistencia,4.7,,
CD3MLLDPD1P,1000,174.66,4.8,90,85.56%;,8.89%;,3.33%;,1.11%;,1.11%;,,,,,,,,,,
CDDICGDP1P,500,153.37,4.7,63,80.95%;,12.7%;,1.59%;,0%;,4.76%;,Relación precio-calidad,4.7,Calidad de los materiales,4.5,Facilidad al limpiar,4.5,Practicidad,4.6,,
JCDTLTS2P,1000,297.30,4.4,312,66.03%;,18.91%;,9.29%;,3.21%;,2.56%;,Relación precio-calidad,4.5,Instalación,4.8,Resistencia,4.2,Calidad de los materiales,4.3,,
CDJHDÁ7P,100,597.54,4.9,40,92.5%;,5%;,0%;,0%;,2.5%;,Relación precio-calidad,4.6,Calidad de la imagen,4.6,Calidad de las terminaciones,4.6,,,,
GDL2FDEVI,100mil,197.33,4.7,"3,829",83.36%;,11.23%;,2.85%;,0.68%;,1.88%;,,,,,,,,,,
BBCDBE1A2C,5mil,179.Nuevo  |  +5mil vendidos,4.6,579,78.76%;,12.44%;,4.49%;,1.55%;,2.76%;,Instalación,4.5,Practicidad,4.6,Calidad de los materiales,4.5,Relación precio-calidad,4.6,Calidad del ajuste,4.5
2UDLDLMS8T33,1000,209.10,4.7,266,80.08%;,13.53%;,3.38%;,1.5%;,1.5%;,,,,,,,,,,
CD3LL3DCCR,1000,253.30,4.7,97,80.41%;,12.37%;,3.09%;,3.09%;,1.03%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.8,,,,,,
CDTSÁMT,25,343.17,4.8,12,83.33%;,8.33%;,8.33%;,0%;,0%;,Relación precio-calidad,4.6,Calidad de la imagen,4.5,Calidad de las terminaciones,4.6,,,,
KPHVDC,500,485.37,4.8,76,89.47%;,6.58%;,2.63%;,0%;,1.32%;,Relación precio-calidad,4.6,Calidad de los materiales,4.7,Calidad de las terminaciones,4.7,,,,
2SDLPAABR,50,259.Nuevo  |  +50 vendidos,4.8,24,75%;,25%;,0%;,0%;,0%;,,,,,,,,,,
TDLLAWRVCI2,500,332.35,4.6,77,76.62%;,10.39%;,9.09%;,1.3%;,2.6%;,Relación precio-calidad,4.5,Calidad de la iluminación,4.8,,,,,,
JD4DPDD5PDDH,100,360.05,4.9,38,89.47%;,7.89%;,2.63%;,0%;,0%;,Calidad de la imagen,4.7,Relación precio-calidad,4.7,Calidad de las terminaciones,4.7,,,,
3PDSMFL3,50,"1,300.Nuevo  |  +50 vendidos",5.0,6,100%;,0%;,0%;,0%;,0%;,,,,,,,,,,
CBPVAT1,100,240.Nuevo  |  +100 vendidos,4.9,46,86.96%;,13.04%;,0%;,0%;,0%;,Calidad de los materiales,4.8,Relación precio-calidad,4.8,Instalación,4.9,Resistencia,4.7,,
2PAEMPVEP,500,157.94,4.7,21,76.19%;,14.29%;,9.52%;,0%;,0%;,,,,,,,,,,
1TNCBOPSR1,100,361.78,5.0,48,95.83%;,4.17%;,0%;,0%;,0%;,Relación precio-calidad,4.9,Instalación,4.9,Calidad de los materiales,4.7,Resistencia,4.8,,
BDTAFDFAF,1000,69.30,4.5,158,70.25%;,16.46%;,8.86%;,1.27%;,3.16%;,,,,,,,,,,
FERRRPE,10mil,268.30,4.8,"1,479",88.91%;,7.1%;,2.57%;,0.54%;,0.88%;,,,,,,,,,,
PVPDVE6,500,188.02,4.8,50,86%;,12%;,0%;,0%;,2%;,Relación precio-calidad,4.8,Calidad de las terminaciones,4.8,Instalación,4.3,,,,
CB1LGAT,5mil,483.99,4.8,893,89.59%;,7.73%;,1.34%;,0.56%;,0.78%;,Relación precio-calidad,4.8,Calidad de los materiales,4.8,Resistencia,4.8,Instalación,4.9,,
1FAW1BDF,10mil,124.98,4.8,558,85.66%;,10.22%;,2.33%;,0.9%;,0.9%;,,,,,,,,,,
TABB1M,1000,180.Nuevo  |  +1000 vendidos,4.2,131,63.36%;,14.5%;,7.63%;,4.58%;,9.92%;,Calidad de los materiales,3.8,Relación precio-calidad,4.1,Instalación,4.1,Practicidad,4.1,Calidad del ajuste,4
PDDDH6P,100,275.54,4.6,71,84.51%;,7.04%;,0%;,2.82%;,5.63%;,Relación precio-calidad,4.7,Calidad de la imagen,4.6,Calidad de las terminaciones,4.7,,,,
1HBO7MD,100,186.08,4.7,35,80%;,11.43%;,8.57%;,0%;,0%;,,,,,,,,,,
CBCPV1,5mil,223.50,4.7,"1,023",79.77%;,14.37%;,3.23%;,1.47%;,1.17%;,Relación precio-calidad,4.7,Calidad de los materiales,4.6,Instalación,4.8,Resistencia,4.6,,
CDGPSD,100,87.59,4.5,14,71.43%;,21.43%;,0%;,0%;,7.14%;,Relación precio-calidad,4.9,Instalación,4.9,Calidad de los materiales,4.6,Resistencia,4.5,,
CSL2C1PA3,10mil,207.66,4.7,788,81.35%;,11.68%;,3.81%;,1.02%;,2.16%;,Relación precio-calidad,4.6,Calidad de la iluminación,4.6,,,,,,
CSL3LDU32P,10mil,167.56,4.7,"1,873",82.01%;,12.28%;,3.04%;,1.07%;,1.6%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.7,,,,,,
1PDCASTGDP,100,124.64,4.4,23,65.22%;,17.39%;,13.04%;,0%;,4.35%;,Relación precio-calidad,4.5,Calidad de las terminaciones,4.5,Calidad de la imagen,4.6,,,,
QDIDRDHDC,1000,147.14,4.6,94,78.72%;,12.77%;,3.19%;,4.26%;,1.06%;,Relación precio-calidad,4.5,Calidad de los materiales,4.6,Calidad de las terminaciones,4.5,,,,
CDDCG1I,1000,140.21,4.5,132,70.45%;,15.91%;,7.58%;,2.27%;,3.79%;,Relación precio-calidad,4.9,Facilidad al limpiar,4.8,Calidad de los materiales,4.7,Practicidad,4.8,,
7MD3PCMH,5mil,87.75,4.8,595,88.07%;,7.23%;,2.69%;,0.84%;,1.18%;,Relación precio-calidad,4.8,Instalación,4.8,Calidad de las terminaciones,4.8,,,,
CLLFNU3BF2,10mil,167.56,4.8,736,85.73%;,9.92%;,2.58%;,0.54%;,1.22%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.7,,,,,,
LPEPL1CC1P,1000,114.24,4.8,126,85.71%;,10.32%;,2.38%;,0%;,1.59%;,Relación precio-calidad,4.5,Instalación,4.7,Calidad de los materiales,4.4,,,,
JD4DPDD5PDDH,100,360.05,4.9,38,89.47%;,7.89%;,2.63%;,0%;,0%;,Calidad de la imagen,4.7,Relación precio-calidad,4.7,Calidad de las terminaciones,4.7,,,,
RDPDEMCC1,500,119.40,4.5,28,71.43%;,10.71%;,14.29%;,0%;,3.57%;,,,,,,,,,,
7MD3PCMH,1000,79.60,4.9,194,90.72%;,7.22%;,1.03%;,0.52%;,0.52%;,Instalación,4.9,Relación precio-calidad,4.9,Calidad de las terminaciones,4.8,,,,
RDPD3LDA(,500,139.88,4.6,125,79.2%;,10.4%;,2.4%;,2.4%;,5.6%;,,,,,,,,,,
LYNL3LFLDA,5mil,99.Nuevo  |  +5mil vendidos,4.7,287,81.18%;,12.54%;,2.79%;,1.74%;,1.74%;,,,,,,,,,,
KP5DTE(,1000,150.Nuevo  |  +1000 vendidos,4.9,164,92.68%;,4.27%;,1.22%;,1.22%;,0.61%;,Relación precio-calidad,4.8,Calidad de la imagen,4.7,Calidad de las terminaciones,4.8,,,,
GDLDEV2F7M,5mil,249.26,4.7,491,82.89%;,11.61%;,4.07%;,0%;,1.43%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.7,,,,,,
FREYCDCRPM,500,218.90,4.9,72,91.67%;,5.56%;,2.78%;,0%;,0%;,,,,,,,,,,
CDCZI1P,500,259.Nuevo  |  +500 vendidos,4.9,24,91.67%;,8.33%;,0%;,0%;,0%;,,,,,,,,,,
2PAH1TPF,1000,98.67,4.8,280,86.43%;,8.93%;,2.5%;,1.43%;,0.71%;,,,,,,,,,,
HB7BDG,100,65.Nuevo  |  +100 vendidos,4.7,29,86.21%;,6.9%;,0%;,0%;,6.9%;,,,,,,,,,,
CMDISX7B,1000,149.Nuevo  |  +1000 vendidos,4.9,474,89.24%;,9.28%;,0.84%;,0%;,0.63%;,Relación precio-calidad,4.8,Calidad de las terminaciones,4.8,Calidad de la imagen,4.8,,,,
PVPDVE6,500,188.02,4.8,50,86%;,12%;,0%;,0%;,2%;,Relación precio-calidad,4.8,Calidad de las terminaciones,4.8,Instalación,4.3,,,,
ADCCRADC7,100,349.Nuevo  |  +100 vendidos,4.8,23,86.96%;,8.7%;,4.35%;,0%;,0%;,,,,,,,,,,
BBCDBE1A2C,100,121.17,4.3,23,60.87%;,21.74%;,13.04%;,0%;,4.35%;,Relación precio-calidad,4.2,Calidad del ajuste,3.9,Instalación,3.9,Calidad de los materiales,3.9,Practicidad,4
BDH2MTGB2B,500,164.62,4.9,44,93.18%;,4.55%;,0%;,2.27%;,0%;,,,,,,,,,,
CDPD5DPS,1000,216.89,4.8,113,84.07%;,12.39%;,2.65%;,0.88%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.7,Calidad de las terminaciones,4.7,,,,
1RLPVSL,100,293.40,4.7,21,85.71%;,4.76%;,4.76%;,0%;,4.76%;,Relación precio-calidad,4,Calidad de los materiales,4,Calidad de las terminaciones,4,,,,
2HBO7MD,5mil,69.96,4.5,289,77.85%;,9%;,6.23%;,2.08%;,4.84%;,,,,,,,,,,
KPHVA,500,489.70,4.9,91,89.01%;,8.79%;,1.1%;,1.1%;,0%;,Relación precio-calidad,4.7,Calidad de los materiales,4.8,Calidad de las terminaciones,4.8,,,,
FERRRPE,10mil,268.30,4.8,"1,479",88.91%;,7.1%;,2.57%;,0.54%;,0.88%;,,,,,,,,,,
4SDPDD5CPD,100,169.Nuevo  |  +100 vendidos,4.9,46,93.48%;,4.35%;,0%;,0%;,2.17%;,Relación precio-calidad,4.9,Calidad de la imagen,4.8,Calidad de las terminaciones,4.8,,,,
CBPV3PHS,5mil,298.Nuevo  |  +5mil vendidos,4.8,765,87.97%;,9.28%;,1.7%;,0.26%;,0.78%;,Relación precio-calidad,4.8,Instalación,4.9,Calidad de los materiales,4.7,Resistencia,4.7,,
FAW1DFB,500,190.40,4.8,66,84.85%;,9.09%;,3.03%;,3.03%;,0%;,,,,,,,,,,
BCBE7A1A,1000,143.Nuevo  |  +1000 vendidos,4.4,238,69.75%;,15.97%;,6.72%;,2.1%;,5.46%;,Calidad del ajuste,4.3,Instalación,4.2,Calidad de los materiales,4.3,Practicidad,4.3,Relación precio-calidad,4.6
SAPCPG8,500,139.Nuevo  |  +500 vendidos,4.7,57,80.7%;,15.79%;,1.75%;,0%;,1.75%;,Calidad de los materiales,4.6,Relación precio-calidad,4.7,Calidad del ajuste,4.6,Instalación,4.6,Practicidad,4.6
P6VGLFRBI,500,189.24,4.8,72,86.11%;,9.72%;,1.39%;,0%;,2.78%;,Relación precio-calidad,4.7,Calidad de los materiales,4.6,Calidad de las terminaciones,4.7,,,,
CDNCÁMT,100,343.17,4.8,23,86.96%;,8.7%;,0%;,4.35%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.8,Calidad de las terminaciones,4.6,,,,
FDTAD3PB,100,186.60,3.8,23,47.83%;,21.74%;,13.04%;,0%;,17.39%;,,,,,,,,,,
CDBPPVBL,1000,169.29,4.3,308,66.88%;,15.26%;,7.14%;,3.9%;,6.82%;,Relación precio-calidad,4.3,Resistencia,4,Instalación,4.6,Calidad de los materiales,4,,
JD4DPDD5PDDH,100,360.05,4.9,38,89.47%;,7.89%;,2.63%;,0%;,0%;,Calidad de la imagen,4.7,Relación precio-calidad,4.7,Calidad de las terminaciones,4.7,,,,
RDCDTFSDT5M,500,193.70,4.4,44,59.09%;,25%;,11.36%;,2.27%;,2.27%;,Calidad de los materiales,4.4,Relación precio-calidad,4.6,Instalación,4,Resistencia,4.5,,
RDGFELL,1000,545.26,4.8,88,85.23%;,9.09%;,4.55%;,0%;,1.14%;,,,,,,,,,,
2PTSPCASR,100,113.43,4.7,43,81.4%;,16.28%;,0%;,0%;,2.33%;,Relación precio-calidad,4.6,Calidad de la imagen,4.6,Calidad de las terminaciones,4.6,,,,
CDLU33L8MDLG2,1000,159.60,4.7,183,81.42%;,10.93%;,2.73%;,2.19%;,2.73%;,Relación precio-calidad,4.6,Calidad de la iluminación,4.6,,,,,,
RDCRAEV,5mil,125.16,4.6,648,78.86%;,11.27%;,4.32%;,2.31%;,3.24%;,Relación precio-calidad,4.6,Facilidad de uso,4.6,Calidad de los materiales,4.5,Duración de la batería,4.5,,
1PWAFDBH,1000,161.25,4.5,34,70.59%;,14.71%;,8.82%;,2.94%;,2.94%;,,,,,,,,,,
CLLFNU3BF2,10mil,167.56,4.8,736,85.73%;,9.92%;,2.58%;,0.54%;,1.22%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.7,,,,,,
CD3MLLDPD1P,1000,174.66,4.8,90,85.56%;,8.89%;,3.33%;,1.11%;,1.11%;,,,,,,,,,,
7MD3PCMH,1000,66.30,4.8,313,86.9%;,8.95%;,1.92%;,0.96%;,1.28%;,Relación precio-calidad,4.8,Calidad de las terminaciones,4.8,Instalación,4.8,,,,
VD2PMVDTLSA,1000,199.89,4.7,117,87.18%;,5.98%;,1.71%;,2.56%;,2.56%;,Relación precio-calidad,4.7,Calidad de los materiales,4.4,Calidad de las terminaciones,4.3,,,,
4SDPDD5PDDH,100,263.25,4.9,50,92%;,6%;,2%;,0%;,0%;,Relación precio-calidad,4.9,Calidad de las terminaciones,4.8,Calidad de la imagen,4.8,,,,
5RFADH7F,1000,144.02,4.7,75,81.33%;,12%;,2.67%;,1.33%;,2.67%;,,,,,,,,,,
KDFDVBVAR,100,257.75,4.9,32,87.5%;,12.5%;,0%;,0%;,0%;,Relación precio-calidad,4.9,Calidad de los materiales,5,Calidad de las terminaciones,4.8,,,,
CLLBFNU3BF,500,90.Nuevo  |  +500 vendidos,4.8,30,80%;,20%;,0%;,0%;,0%;,Relación precio-calidad,5,Calidad de la iluminación,5,,,,,,
34POADCCC,100,219.Nuevo  |  +100 vendidos,4.9,15,93.33%;,0%;,6.67%;,0%;,0%;,,,,,,,,,,
4SCDPD5DP,100,173.Nuevo  |  +100 vendidos,4.9,63,88.89%;,7.94%;,3.17%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.9,Calidad de las terminaciones,4.8,,,,
CBPV3PHS,5mil,298.Nuevo  |  +5mil vendidos,4.8,765,87.97%;,9.28%;,1.7%;,0.26%;,0.78%;,Relación precio-calidad,4.8,Instalación,4.9,Calidad de los materiales,4.7,Resistencia,4.7,,
DDCAB,100,134.Nuevo  |  +100 vendidos,4.2,29,62.07%;,17.24%;,6.9%;,10.34%;,3.45%;,Relación precio-calidad,4.4,Facilidad de uso,3.7,Calidad de los materiales,4.2,Duración de la batería,4.4,,
CDADOTP,1000,279.56,4.8,122,87.7%;,9.02%;,2.46%;,0%;,0.82%;,,,,,,,,,,
1TPABH2D,1000,93.80,4.7,280,84.64%;,8.57%;,3.93%;,1.43%;,1.43%;,,,,,,,,,,
FDRECRDCPM,1000,227.80,4.9,135,88.89%;,9.63%;,0.74%;,0.74%;,0%;,,,,,,,,,,
LDLDÁDP3LN,1000,159.99,4.8,60,85%;,10%;,5%;,0%;,0%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.7,,,,,,
CDDÁMT,50,343.17,4.8,10,90%;,0%;,10%;,0%;,0%;,Relación precio-calidad,5,Calidad de la imagen,4.8,Calidad de las terminaciones,4.8,,,,
CN3*CCA,10mil,238.Nuevo  |  +10mil vendidos,4.3,"1,691",60.73%;,18.45%;,11.35%;,4.02%;,5.44%;,,,,,,,,,,
BHPPDBDG5B,1000,79.Nuevo  |  +1000 vendidos,4.7,114,78.95%;,13.16%;,6.14%;,0.88%;,0.88%;,,,,,,,,,,
QDICRDHCC,500,176.56,4.6,116,80.17%;,9.48%;,2.59%;,2.59%;,5.17%;,,,,,,,,,,
CSL3LDU8M32,1000,147.63,4.8,102,84.31%;,11.76%;,2.94%;,0%;,0.98%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.8,,,,,,
RDPLRTY4A3C,100,420.76,4.6,35,71.43%;,22.86%;,2.86%;,2.86%;,0%;,Relación precio-calidad,4.6,Calidad de los materiales,4.4,,,,,,
MHHMGCG1H,5,"1,433.54",5.0,2,100%;,0%;,0%;,0%;,0%;,,,,,,,,,,
1VDDAC,1000,199.Nuevo  |  +1000 vendidos,4.9,97,89.69%;,8.25%;,2.06%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de los materiales,4.8,Calidad de las terminaciones,4.7,,,,
GPCDB2PP,100,149.Nuevo  |  +100 vendidos,4.9,25,88%;,12%;,0%;,0%;,0%;,,,,,,,,,,
1MD3PCMH,500,149.56,5.0,67,97.01%;,2.99%;,0%;,0%;,0%;,Calidad de las terminaciones,4.9,Instalación,4.9,Relación precio-calidad,4.9,,,,
1CDLHCP22LF,5mil,117.10,4.8,520,83.08%;,11.15%;,4.04%;,1.35%;,0.38%;,,,,,,,,,,
PPNDNEDVG,100,459.Nuevo  |  +100 vendidos,4.9,12,91.67%;,8.33%;,0%;,0%;,0%;,Relación precio-calidad,4.6,Calidad de la imagen,4.6,Calidad de las terminaciones,4.5,,,,
PAECDDCA,500,242.34,4.4,51,68.63%;,19.61%;,3.92%;,1.96%;,5.88%;,,,,,,,,,,
GPVTC1L,1000,149.Nuevo  |  +1000 vendidos,4.6,42,83.33%;,7.14%;,2.38%;,2.38%;,4.76%;,,,,,,,,,,
2PDRADSRYB,100,102.35,4.5,24,79.17%;,12.5%;,0%;,0%;,8.33%;,,,,,,,,,,
1BHBGB7PP,100,148.99,4.6,14,78.57%;,14.29%;,0%;,0%;,7.14%;,,,,,,,,,,
MSLNSLPEB,500,145.40,4.4,24,75%;,4.17%;,12.5%;,4.17%;,4.17%;,Relación precio-calidad,4.6,Calidad de la iluminación,4.4,,,,,,
MPTP2DC,100,379.Nuevo  |  +100 vendidos,4.7,44,81.82%;,11.36%;,2.27%;,0%;,4.55%;,Calidad de las terminaciones,4.5,Relación precio-calidad,4.5,Calidad de la imagen,4.7,,,,
6BDAPGRYE,5mil,268.48,4.4,903,66.33%;,16.39%;,9.19%;,3.43%;,4.65%;,,,,,,,,,,
RERP+CTAE1I,1000,285.62,4.8,205,85.85%;,10.24%;,2.44%;,0%;,1.46%;,,,,,,,,,,
CBREL2,1000,476.37,4.8,362,87.85%;,8.29%;,3.31%;,0%;,0.55%;,Relación precio-calidad,4.7,Calidad de los materiales,4.6,Instalación,4.8,Resistencia,4.7,,
GDL1FELI1,500,802.49,4.6,48,83.33%;,6.25%;,4.17%;,2.08%;,4.17%;,Relación precio-calidad,4.6,Calidad de la iluminación,4.8,,,,,,
CDJHDÁ7P,100,597.54,4.9,40,92.5%;,5%;,0%;,0%;,2.5%;,Relación precio-calidad,4.6,Calidad de la imagen,4.6,Calidad de las terminaciones,4.6,,,,
6P6TDHDPAM,100,138.72,4.7,29,75.86%;,17.24%;,3.45%;,3.45%;,0%;,,,,,,,,,,
2PAH1TPFD,100,100.05,5.0,21,95.24%;,4.76%;,0%;,0%;,0%;,,,,,,,,,,
4PABFCVF,100,100.05,4.5,8,62.5%;,25%;,12.5%;,0%;,0%;,,,,,,,,,,
PD3HIP51,50,619.Nuevo  |  +50 vendidos,4.8,10,80%;,20%;,0%;,0%;,0%;,,,,,,,,,,
CDCFHT,1000,212.Nuevo  |  +1000 vendidos,4.9,163,93.87%;,3.68%;,2.45%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.8,Calidad de las terminaciones,4.8,,,,
