id,Vendidos,Precio,Calificación promedio,Número de resenas,Calf_int_1,Calf_int_2,Calf_int_3,Calf_int_4,Calf_int_5,Carac_1,CalfC_1,Carac_2,CalfC_2,Carac_3,CalfC_3,Carac_4,CalfC_4,Carac_5,CalfC_5
CPDACMPC,100,197.20,4.3,31,70.97%;,6.45%;,9.68%;,9.68%;,3.23%;,Relación precio-calidad,4,Duración,3.3,Calidad de los materiales,3.7,Practicidad,3.6,,
4MAPBPCM,100,164.44,4.8,32,87.5%;,3.12%;,6.25%;,3.12%;,0%;,,,,,,,,,,
PVPDVE4,1000,137.27,4.5,140,71.43%;,17.14%;,6.43%;,2.14%;,2.86%;,Instalación,4.3,Calidad de las terminaciones,4.4,Relación precio-calidad,4.5,,,,
PCDMMAM,100,199.88,4.8,12,83.33%;,16.67%;,0%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.7,Calidad de las terminaciones,4.7,,,,
LDHCPL22LDB1,500,108.30,4.7,47,72.34%;,23.4%;,4.26%;,0%;,0%;,Calidad de la iluminación,4.7,Relación precio-calidad,4.7,,,,,,
CB2PIAC1,5mil,476.02,4.7,571,84.76%;,9.11%;,2.8%;,0.88%;,2.45%;,Relación precio-calidad,4.7,Calidad de los materiales,4.6,Instalación,4.7,Resistencia,4.6,,
PABFCDVF,1000,94.46,4.6,95,81.05%;,8.42%;,6.32%;,2.11%;,2.11%;,,,,,,,,,,
RRFDDPED,500,389.30,4.5,75,73.33%;,16%;,4%;,2.67%;,4%;,Relación precio-calidad,4.6,Facilidad de uso,4.3,Calidad de los materiales,4.6,Duración de la batería,4.1,,
CDBCGADEM,1000,118.15,4.7,217,78.34%;,13.82%;,4.61%;,1.84%;,1.38%;,,,,,,,,,,
BP5DDHS,100,238.88,4.7,30,86.67%;,6.67%;,3.33%;,0%;,3.33%;,Relación precio-calidad,4.6,Calidad de la imagen,4.4,Calidad de las terminaciones,4.6,,,,
ADCCRADC7,100,349.Nuevo  |  +100 vendidos,4.8,23,86.96%;,8.7%;,4.35%;,0%;,0%;,,,,,,,,,,
LNEVGECLC,500,549.65,4.8,54,87.04%;,9.26%;,3.7%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.7,Calidad de las terminaciones,4.7,,,,
CDLPHTLDNS,5mil,138.31,4.7,315,80.63%;,11.43%;,5.4%;,0.32%;,2.22%;,,,,,,,,,,
GDWFAD,1000,199.06,4.5,170,67.65%;,17.65%;,10%;,2.35%;,2.35%;,,,,,,,,,,
CDTTPS,1000,127.23,4.7,64,82.81%;,9.38%;,3.12%;,0%;,4.69%;,Relación precio-calidad,4.6,Instalación,4.8,Calidad de los materiales,4.5,Resistencia,4.5,,
5PLDALPFD3,500,89.40,4.3,48,66.67%;,18.75%;,2.08%;,2.08%;,10.42%;,Relación precio-calidad,4.6,Instalación,4.8,Calidad de los materiales,4.4,,,,
CPCMYLM4,100,367.50,4.8,35,85.71%;,8.57%;,2.86%;,2.86%;,0%;,Relación precio-calidad,4.5,Calidad de la imagen,4.5,Calidad de las terminaciones,4.6,,,,
KDPDDDVG532P,500,311.58,4.9,102,91.18%;,5.88%;,1.96%;,0%;,0.98%;,Relación precio-calidad,4.8,Calidad de la imagen,4.7,Calidad de las terminaciones,4.8,,,,
7MD3PCMH,5mil,87.75,4.8,595,88.07%;,7.23%;,2.69%;,0.84%;,1.18%;,Relación precio-calidad,4.8,Instalación,4.8,Calidad de las terminaciones,4.8,,,,
LLDÁBPELPH,1000,196.84,4.8,116,88.79%;,6.9%;,3.45%;,0%;,0.86%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.8,,,,,,
VDPDVDPE,5mil,98.69,4.5,295,73.22%;,14.58%;,5.42%;,3.05%;,3.73%;,Relación precio-calidad,4.4,Instalación,4.4,Calidad de las terminaciones,4.4,,,,
JDCECF,5mil,166.25,4.5,487,72.69%;,14.37%;,8.01%;,2.67%;,2.26%;,Relación precio-calidad,4.5,Instalación,4.7,Calidad de los materiales,4.3,Resistencia,4.3,,
CDA2CBLOS7P,500,299.Nuevo  |  +500 vendidos,4.8,34,88.24%;,8.82%;,0%;,0%;,2.94%;,Relación precio-calidad,4.7,Calidad de la imagen,4.7,Calidad de las terminaciones,4.5,,,,
FAW11DFB,1000,138.48,4.8,88,85.23%;,10.23%;,3.41%;,0%;,1.14%;,,,,,,,,,,
CB1AX2DLE2P,1000,399.Nuevo  |  +1000 vendidos,4.9,177,90.96%;,7.34%;,1.69%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de los materiales,4.7,Instalación,4.9,Resistencia,4.7,,
CSL3LDU8M3,100mil,89.65,4.7,"4,692",80.92%;,11.87%;,3.75%;,1.13%;,2.32%;,,,,,,,,,,
CBODTHA1,10mil,199.66,4.7,"1,141",83.44%;,9.2%;,3.68%;,0.96%;,2.72%;,Relación precio-calidad,4.7,Calidad de los materiales,4.7,Resistencia,4.7,Instalación,4.8,,
CBOV1CS1,5mil,139.52,4.8,563,85.08%;,9.41%;,3.02%;,0.89%;,1.6%;,Relación precio-calidad,4.8,Instalación,4.8,Calidad de los materiales,4.7,Resistencia,4.7,,
RDPMCSDYS,1000,177.54,4.8,205,82.93%;,14.15%;,0.49%;,0.49%;,1.95%;,Relación precio-calidad,4.7,Calidad de los materiales,4.6,,,,,,
LDRÁMTCCMM,25,329.70,5.0,5,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,5,Calidad de las terminaciones,5,,,,
GL6LSPE1M,1000,138.48,4.5,196,74.49%;,12.24%;,5.61%;,3.57%;,4.08%;,,,,,,,,,,
CDARPCO6,25,240.Nuevo  |  +25 vendidos,5.0,3,100%;,0%;,0%;,0%;,0%;,,,,,,,,,,
KFVAVDBD,1000,504.07,4.8,469,89.13%;,8.1%;,1.07%;,1.49%;,0.21%;,Relación precio-calidad,4.7,Calidad de los materiales,4.6,Calidad de las terminaciones,4.7,,,,
CBPND1C1P,1000,238.40,4.5,142,76.76%;,8.45%;,4.23%;,4.23%;,6.34%;,Relación precio-calidad,4.5,Resistencia,4.5,Instalación,4.7,Calidad de los materiales,4.5,,
CDSTMT1,50,209.Nuevo  |  +50 vendidos,5.0,7,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,4.6,Calidad de la imagen,5,Calidad de las terminaciones,4.8,,,,
PDADCNT3P,100,41.37,4.5,13,76.92%;,7.69%;,7.69%;,7.69%;,0%;,,,,,,,,,,
MLNSL1LAE,1000,291.15,4.6,36,75%;,8.33%;,13.89%;,2.78%;,0%;,,,,,,,,,,
FAW11DFB,500,128.70,4.8,31,90.32%;,6.45%;,0%;,0%;,3.23%;,,,,,,,,,,
BDAPODR8,100,474.05,4.3,37,62.16%;,21.62%;,2.7%;,8.11%;,5.41%;,,,,,,,,,,
CBPV12HS,10mil,209.58,4.8,"2,715",85.78%;,11.12%;,2.06%;,0.22%;,0.81%;,Relación precio-calidad,4.8,Calidad de los materiales,4.7,Instalación,4.9,Resistencia,4.7,,
CDDD5FPHM,50,126.65,5.0,5,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,5,Calidad de la imagen,4.6,Calidad de las terminaciones,5,,,,
FRELVBLIPR,1000,199.66,4.8,164,88.41%;,8.54%;,0.61%;,0%;,2.44%;,,,,,,,,,,
TD2LLCCPB2M1P,100,186.95,4.9,26,88.46%;,11.54%;,0%;,0%;,0%;,Relación precio-calidad,4.9,Calidad de la iluminación,4.9,,,,,,
PAFBAPD8,1000,180.54,4.8,118,88.14%;,5.93%;,3.39%;,0%;,2.54%;,,,,,,,,,,
CBLTICDG,500,169.46,4.5,106,70.75%;,17.92%;,6.6%;,0.94%;,3.77%;,Relación precio-calidad,4.4,Facilidad al limpiar,4.4,Calidad de los materiales,4.2,Practicidad,4.5,,
1MTCDRCV,1000,"1,150.Nuevo  |  +1000 vendidos",4.6,73,75.34%;,15.07%;,4.11%;,1.37%;,4.11%;,Relación precio-calidad,4.4,Calidad de la imagen,4.3,Calidad de las terminaciones,4.1,,,,
C1RJRAERAA,100,65.Nuevo  |  +100 vendidos,4.8,52,84.62%;,9.62%;,3.85%;,1.92%;,0%;,,,,,,,,,,
GDLLSI5T5L,500,173.10,4.5,44,79.55%;,4.55%;,6.82%;,4.55%;,4.55%;,,,,,,,,,,
CDBP1AI,5mil,199.66,4.7,429,83.45%;,9.32%;,5.36%;,0.7%;,1.17%;,Relación precio-calidad,4.8,Facilidad al limpiar,4.9,Calidad de los materiales,4.8,Practicidad,4.8,,
CPVCBO12,1000,279.37,4.9,162,90.12%;,8.64%;,0.62%;,0.62%;,0%;,Relación precio-calidad,4.8,Calidad de los materiales,4.8,Resistencia,4.8,Instalación,4.9,,
CEBLIBTNG,100,733.19,4.3,23,69.57%;,8.7%;,8.7%;,8.7%;,4.35%;,Relación precio-calidad,4.6,Calidad de la imagen,4.6,Calidad de las terminaciones,4.6,,,,
PCTPSD,100,92.26,4.7,19,78.95%;,10.53%;,10.53%;,0%;,0%;,Relación precio-calidad,4.6,Instalación,4.5,Calidad de los materiales,4.5,Resistencia,4.3,,
CBRT2X2-2P,5mil,298.85,4.7,525,79.81%;,12.19%;,5.52%;,1.33%;,1.14%;,Calidad de los materiales,4.7,Resistencia,4.7,Relación precio-calidad,4.7,Instalación,4.9,,
L8T3LM1LAPE,100,176.03,4.5,11,72.73%;,9.09%;,18.18%;,0%;,0%;,Relación precio-calidad,4.2,Calidad de la iluminación,4,,,,,,
CPBNIAPB,1000,226.59,4.7,153,81.7%;,14.38%;,1.96%;,0.65%;,1.31%;,Relación precio-calidad,4.9,Calidad de los materiales,4.7,Facilidad al limpiar,4.7,Practicidad,4.9,,
CODTPCCTP,1000,169.Nuevo  |  +1000 vendidos,4.5,213,73.24%;,15.02%;,6.57%;,2.35%;,2.82%;,,,,,,,,,,
7LATB2A,100,60.93,4.9,14,85.71%;,14.29%;,0%;,0%;,0%;,Relación precio-calidad,5,Calidad de la imagen,5,Calidad de las terminaciones,5,,,,
8PVADCDSPA,100,268.Nuevo  |  +100 vendidos,4.7,38,76.32%;,21.05%;,0%;,0%;,2.63%;,Relación precio-calidad,4.9,Calidad de los materiales,4.9,Calidad de las terminaciones,4.9,,,,
GDL3FEVI2,1000,405.40,4.7,87,82.76%;,11.49%;,2.3%;,0%;,3.45%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.6,,,,,,
2PAH1TPF,100,105.94,4.7,26,84.62%;,3.85%;,7.69%;,3.85%;,0%;,,,,,,,,,,
CBD2L2P,100,285.62,4.6,60,80%;,11.67%;,3.33%;,1.67%;,3.33%;,Relación precio-calidad,4.7,Calidad de los materiales,4.6,Instalación,4.9,Resistencia,4.7,,
4PD5DPCD,100,259.65,4.8,23,86.96%;,8.7%;,4.35%;,0%;,0%;,Relación precio-calidad,4.7,Calidad de la imagen,4.7,Calidad de las terminaciones,4.7,,,,
CBEMPS,500,109.05,3.8,36,41.67%;,27.78%;,16.67%;,0%;,13.89%;,Relación precio-calidad,3.9,Instalación,4.3,Calidad de los materiales,3.8,Resistencia,3.7,,
CSL3LDU8M3,100mil,89.65,4.7,"4,693",80.93%;,11.87%;,3.75%;,1.13%;,2.32%;,,,,,,,,,,
ADCCRADC7,100,349.Nuevo  |  +100 vendidos,4.8,23,86.96%;,8.7%;,4.35%;,0%;,0%;,,,,,,,,,,
PCSPST,100,87.59,4.4,28,75%;,10.71%;,3.57%;,0%;,10.71%;,Relación precio-calidad,4.3,Resistencia,4.2,Instalación,4.6,Calidad de los materiales,4.5,,
GDL2FVI7I,50mil,197.16,4.8,"2,224",84.44%;,10.57%;,2.65%;,0.76%;,1.57%;,,,,,,,,,,
RDPDEMCC1,25,177.50,4.8,5,80%;,20%;,0%;,0%;,0%;,,,,,,,,,,
RDDPCRYP,500,258.09,4.6,107,75.7%;,14.95%;,3.74%;,2.8%;,2.8%;,Relación precio-calidad,4.6,Facilidad de uso,4.6,Calidad de los materiales,4.3,Duración de la batería,3.4,,
4SDPDD5PAD,100,262.25,4.9,34,88.24%;,11.76%;,0%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.7,Calidad de las terminaciones,4.7,,,,
7PMD3CDMPP,1000,95.55,4.8,80,85%;,13.75%;,0%;,0%;,1.25%;,Relación precio-calidad,4.8,Instalación,4.8,Calidad de las terminaciones,4.8,,,,
RDCDTFSDT5M,500,193.70,4.4,44,59.09%;,25%;,11.36%;,2.27%;,2.27%;,Calidad de los materiales,4.4,Relación precio-calidad,4.6,Instalación,4,Resistencia,4.5,,
CBPVAT1,10mil,187.78,4.6,"1,605",79.31%;,11.53%;,5.11%;,1.62%;,2.43%;,Relación precio-calidad,4.6,Calidad de los materiales,4.6,Resistencia,4.6,Instalación,4.8,,
LDLMS8T31M,1000,138.48,4.5,66,69.7%;,21.21%;,4.55%;,1.52%;,3.03%;,Relación precio-calidad,4.6,Calidad de la iluminación,4.9,,,,,,
CLCA2X2MAHJ2P,1000,369.55,4.6,211,74.41%;,13.27%;,9%;,1.9%;,1.42%;,Relación precio-calidad,4.5,Instalación,4.8,Calidad de los materiales,4.3,Resistencia,4.4,,
PSAPD2PF,500,192.14,4.7,58,84.48%;,5.17%;,5.17%;,3.45%;,1.72%;,,,,,,,,,,
S3CMBBNMM,50,721.35,4.6,8,87.5%;,0%;,0%;,12.5%;,0%;,Relación precio-calidad,4.5,Calidad de la imagen,4.6,Calidad de las terminaciones,4.5,,,,
CBAPD/SMNBO,50,559.Nuevo  |  +50 vendidos,5.0,5,100%;,0%;,0%;,0%;,0%;,,,,,,,,,,
PACCDH4P,1000,217.59,4.8,71,87.32%;,7.04%;,4.23%;,0%;,1.41%;,,,,,,,,,,
GDLSN11F8I,1000,196.81,4.5,284,72.18%;,12.68%;,8.1%;,2.82%;,4.23%;,,,,,,,,,,
7MD3PCMH,100,75.98,5.0,20,95%;,5%;,0%;,0%;,0%;,Instalación,4.8,Relación precio-calidad,4.9,Calidad de las terminaciones,4.8,,,,
RDPDEMCC1,500,119.40,4.5,28,71.43%;,10.71%;,14.29%;,0%;,3.57%;,,,,,,,,,,
6HBO7MD,1000,79.60,4.8,174,89.08%;,4.6%;,2.3%;,1.15%;,2.87%;,,,,,,,,,,
CDAMMT,500,197.60,4.8,61,80.33%;,14.75%;,4.92%;,0%;,0%;,Relación precio-calidad,4.6,Calidad de la imagen,4.6,Calidad de las terminaciones,4.6,,,,
CCCA2X1MAHJ2P,1000,266.37,4.1,245,55.1%;,20%;,10.61%;,6.12%;,8.16%;,Relación precio-calidad,4,Calidad de los materiales,3.8,Resistencia,3.9,Instalación,4.7,,
PS6PDFA,1000,147.26,4.5,97,72.16%;,14.43%;,6.19%;,2.06%;,5.15%;,,,,,,,,,,
FDTAPD3PR,1000,256.71,4.7,219,81.74%;,11.87%;,3.65%;,1.37%;,1.37%;,,,,,,,,,,
AOHCL3L,100,109.Nuevo  |  +100 vendidos,5.0,13,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.4,,,,,,
CRT3*CCA,10mil,289.11,4.4,"1,502",65.31%;,16.78%;,10.05%;,3.6%;,4.26%;,Relación precio-calidad,4.5,Calidad de los materiales,4.3,Instalación,4.7,Resistencia,4.3,,
MTCPD1P,1000,"1,015.55",4.7,95,82.11%;,9.47%;,6.32%;,1.05%;,1.05%;,Relación precio-calidad,4.6,Calidad de la imagen,4.8,Calidad de las terminaciones,4.6,,,,
PCDMMA2,100,187.85,4.9,21,95.24%;,0%;,4.76%;,0%;,0%;,Relación precio-calidad,4.7,Calidad de los materiales,4.7,,,,,,
LPEPL1CC2P,100,148.20,4.9,7,85.71%;,14.29%;,0%;,0%;,0%;,Relación precio-calidad,4.8,Instalación,4.6,Calidad de los materiales,4.3,,,,
PNLNLDND,50,228.Nuevo  |  +50 vendidos,3.6,7,42.86%;,0%;,42.86%;,0%;,14.29%;,Relación precio-calidad,4,Calidad de la iluminación,3,,,,,,
1EAPCTG,1000,167.39,4.8,127,86.61%;,7.87%;,3.15%;,0%;,2.36%;,,,,,,,,,,
CACFYCPCS,500,340.Nuevo  |  +500 vendidos,4.6,86,79.07%;,9.3%;,6.98%;,2.33%;,2.33%;,Relación precio-calidad,4.5,Calidad de la imagen,4.5,Calidad de las terminaciones,4.6,,,,
RDTNMD1E,500,135.Nuevo  |  +500 vendidos,4.8,59,88.14%;,8.47%;,1.69%;,0%;,1.69%;,,,,,,,,,,
MCDMDMCDHP,1000,123.37,4.8,274,89.05%;,6.93%;,2.55%;,0.73%;,0.73%;,,,,,,,,,,
CDLCP2LPDD,100,467.20,4.8,24,75%;,25%;,0%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la iluminación,4.8,,,,,,
TABB7C,500,162.Nuevo  |  +500 vendidos,4.0,53,58.49%;,11.32%;,13.21%;,9.43%;,7.55%;,Relación precio-calidad,3.7,Calidad del ajuste,3.5,Instalación,3.8,Calidad de los materiales,3.5,Practicidad,3.8
CKACG9,100,800.81,4.7,19,78.95%;,10.53%;,10.53%;,0%;,0%;,Relación precio-calidad,4.6,Calidad de las terminaciones,4.6,Calidad de la imagen,4.5,,,,
RDPDDEMCC,100,109.80,4.5,21,80.95%;,4.76%;,4.76%;,0%;,9.52%;,,,,,,,,,,
1DHPDBDGB,100,120.82,4.7,26,80.77%;,11.54%;,7.69%;,0%;,0%;,,,,,,,,,,
1CDLHCP22LC,5mil,116.56,4.8,440,88.41%;,8.86%;,1.82%;,0.23%;,0.68%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.7,,,,,,
CDBDV*P,5mil,899.Nuevo  |  +5mil vendidos,4.5,405,70.12%;,18.27%;,5.68%;,3.7%;,2.22%;,,,,,,,,,,
DPD5DH44P,50,174.05,5.0,17,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,4.9,Calidad de la imagen,5,Calidad de las terminaciones,5,,,,
P3G2RAFGM,1000,129.48,4.6,99,79.8%;,10.1%;,4.04%;,3.03%;,3.03%;,,,,,,,,,,
CBCPVD1,1000,176.70,4.7,203,83.74%;,8.87%;,1.97%;,1.97%;,3.45%;,Relación precio-calidad,4.7,Instalación,4.8,Calidad de los materiales,4.7,Resistencia,4.7,,
1TPABH2D,10mil,99.53,4.7,421,80.52%;,13.06%;,3.8%;,1.43%;,1.19%;,,,,,,,,,,
CDMHM3C4U,100,575.38,4.8,52,90.38%;,5.77%;,1.92%;,1.92%;,0%;,Relación precio-calidad,4.9,Calidad de los materiales,4.7,Duración de la batería,5,Calidad del sonido,5,,
CVDGCF3MD,100,497.Nuevo  |  +100 vendidos,5.0,36,97.22%;,2.78%;,0%;,0%;,0%;,Relación precio-calidad,4.9,Calidad de la imagen,4.9,Calidad de las terminaciones,4.9,,,,
DDLDCI,1000,112.56,4.3,122,63.11%;,17.21%;,9.84%;,2.46%;,7.38%;,Calidad de los materiales,4,Relación precio-calidad,4.5,Facilidad de uso,4.5,Duración de la batería,4,,
1SEVPFEG,100,185.Nuevo  |  +100 vendidos,4.8,59,88.14%;,6.78%;,1.69%;,0%;,3.39%;,Relación precio-calidad,4.8,Calidad de las terminaciones,4.7,Instalación,4.8,,,,
CBJ2P2PQ,1000,189.Nuevo  |  +1000 vendidos,4.4,220,72.73%;,13.18%;,4.55%;,2.27%;,7.27%;,Relación precio-calidad,4.5,Calidad de los materiales,4.5,Resistencia,4.5,Instalación,4.8,,
CBPV12P,1000,263.46,4.8,168,87.5%;,8.33%;,2.38%;,0.6%;,1.19%;,Relación precio-calidad,4.8,Calidad de los materiales,4.7,Instalación,4.8,Resistencia,4.8,,
REPACLLCC,1000,187.74,4.8,76,84.21%;,9.21%;,5.26%;,0%;,1.32%;,,,,,,,,,,
4SDPDD5CPD,1000,188.51,4.9,192,92.71%;,6.25%;,1.04%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la imagen,4.7,Calidad de las terminaciones,4.7,,,,
CDBTP1X1N,100,135.71,4.9,76,89.47%;,7.89%;,2.63%;,0%;,0%;,Relación precio-calidad,4.6,Facilidad al limpiar,4.6,Calidad de los materiales,4.4,Practicidad,4.7,,
2VDTDLLERAB,100,169.Nuevo  |  +100 vendidos,4.8,23,82.61%;,13.04%;,4.35%;,0%;,0%;,Relación precio-calidad,5,Calidad de los materiales,5,Calidad de las terminaciones,5,,,,
PDLPDP3TPT,1000,128.09,4.5,202,74.26%;,14.85%;,6.44%;,0.5%;,3.96%;,,,,,,,,,,
KPD5DFBDÁM,500,119.07,4.7,94,84.04%;,10.64%;,2.13%;,1.06%;,2.13%;,Relación precio-calidad,4.6,Calidad de las terminaciones,4.6,Calidad de la imagen,4.5,,,,
BH6MDHPP7M,1000,72.88,4.7,65,80%;,15.38%;,3.08%;,1.54%;,0%;,,,,,,,,,,
GD2LLAPD2MB1P,500,150.60,4.6,79,78.48%;,11.39%;,3.8%;,1.27%;,5.06%;,Relación precio-calidad,4.5,Calidad de la iluminación,4.6,,,,,,
CMDISX5B,500,125.Nuevo  |  +500 vendidos,4.8,333,85.59%;,10.81%;,2.4%;,0.6%;,0.6%;,Relación precio-calidad,4.9,Calidad de las terminaciones,4.8,Calidad de la imagen,4.8,,,,
1PDATLDFD,50,238.40,4.9,8,87.5%;,12.5%;,0%;,0%;,0%;,Relación precio-calidad,5,Instalación,5,Calidad de los materiales,4.8,,,,
1VDFDLLDBF,100,123.94,4.6,26,76.92%;,11.54%;,7.69%;,3.85%;,0%;,,,,,,,,,,
1EAPCD,1000,199.Nuevo  |  +1000 vendidos,4.8,106,87.74%;,9.43%;,2.83%;,0%;,0%;,,,,,,,,,,
CSL3LDU8M3,100mil,88.97,4.7,"3,766",81.78%;,11.5%;,3.61%;,0.96%;,2.15%;,,,,,,,,,,
KDPDDDVG534P,100,189.Nuevo  |  +100 vendidos,4.3,3,66.67%;,0%;,33.33%;,0%;,0%;,Relación precio-calidad,4.5,Calidad de la imagen,4,Calidad de las terminaciones,4,,,,
PLDPCB,500,181.24,4.8,84,83.33%;,15.48%;,1.19%;,0%;,0%;,Relación precio-calidad,4.9,Instalación,4.7,Calidad de los materiales,4.8,,,,
LDJDNGAH,100,92.40,4.9,27,88.89%;,11.11%;,0%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la iluminación,4.8,,,,,,
CDJÁMT,50,343.17,4.7,15,80%;,13.33%;,6.67%;,0%;,0%;,Relación precio-calidad,4.6,Calidad de la imagen,4.6,Calidad de las terminaciones,4.6,,,,
RDDCBBYLD,1000,157.52,4.3,110,66.36%;,15.45%;,8.18%;,1.82%;,8.18%;,Relación precio-calidad,4.2,Facilidad de uso,3.9,Calidad de los materiales,4.1,Duración de la batería,4,,
ALTCBYLPD,50,105.16,5.0,4,100%;,0%;,0%;,0%;,0%;,,,,,,,,,,
CBPV2CLO,1000,249.50,4.8,153,88.89%;,9.15%;,0.65%;,0.65%;,0.65%;,Relación precio-calidad,4.8,Calidad de los materiales,4.8,Instalación,4.8,Resistencia,4.7,,
CSL3LNDF3,100,98.80,4.7,17,76.47%;,17.65%;,5.88%;,0%;,0%;,Relación precio-calidad,4.8,Calidad de la iluminación,4.7,,,,,,
CDSWDYHLT,100,209.Nuevo  |  +100 vendidos,4.7,47,78.72%;,17.02%;,4.26%;,0%;,0%;,Calidad de la imagen,4.9,Relación precio-calidad,4.8,Calidad de las terminaciones,4.8,,,,
CDDICGDP1P,500,153.37,4.7,63,80.95%;,12.7%;,1.59%;,0%;,4.76%;,Relación precio-calidad,4.7,Calidad de los materiales,4.5,Facilidad al limpiar,4.5,Practicidad,4.6,,
JCDTLTS2P,1000,297.30,4.4,312,66.03%;,18.91%;,9.29%;,3.21%;,2.56%;,Relación precio-calidad,4.5,Instalación,4.8,Resistencia,4.2,Calidad de los materiales,4.3,,
PD4PSL33,100,"1,479.14",4.6,39,76.92%;,17.95%;,0%;,0%;,5.13%;,,,,,,,,,,
VFDSAEFC1,100,119.52,4.6,25,80%;,12%;,4%;,0%;,4%;,Relación precio-calidad,4.5,Calidad de los materiales,4.3,Calidad de las terminaciones,4.1,,,,
1TALLRD,100,259.82,4.6,24,75%;,20.83%;,0%;,0%;,4.17%;,,,,,,,,,,
FADCR2P,100,201.14,4.9,31,87.1%;,12.9%;,0%;,0%;,0%;,,,,,,,,,,
TDLDP6P,100,127.92,4.8,13,92.31%;,0%;,0%;,7.69%;,0%;,Relación precio-calidad,5,Calidad de la iluminación,5,,,,,,
CDCDSVYRDFE,500,208.60,4.9,96,92.71%;,6.25%;,0%;,0%;,1.04%;,,,,,,,,,,
JD3OPCD4DDI,25,275.23,4.0,2,50%;,0%;,50%;,0%;,0%;,,,,,,,,,,
C1BTLE2,100,399.50,4.3,47,61.7%;,27.66%;,2.13%;,0%;,8.51%;,Relación precio-calidad,4.4,Instalación,4.8,Resistencia,4.3,Calidad de los materiales,4.3,,
FAW11DFB,1000,121.69,4.8,163,85.89%;,9.82%;,3.07%;,0%;,1.23%;,,,,,,,,,,
