ID,Número_Reseñas,Promedio_Calificación,Num_Reseñas_1,Num_Reseñas_2,Num_Reseñas_3,Num_Reseñas_4,Num_Reseñas_5,Atributo 1,Raiting_Promedio 1,Atributo 2,Raiting_Promedio 2,Atributo 3,Raiting_Promedio 3,Atributo 4,Raiting_Promedio 4,Atributo 5,Raiting_Promedio 5
MLM2538369200,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1809033346,7,4.1,1,0,0,2,4,,,,,,,,,,
MLM2711788032,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1432177851,28,4.5,1,0,3,3,21,,,,,,,,,,
MLM2383370652,1,4.0,0,0,0,1,0,,,,,,,,,,
MLM2396814484,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1956201579,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1914181251,2,5.0,0,0,0,0,2,,,,,,,,,,
MLM756834715,6,4.5,0,0,1,1,4,,,,,,,,,,
MLM945226607,7,5.0,0,0,0,0,7,,,,,,,,,,
MLM2273124678,2,4.5,0,0,0,1,1,,,,,,,,,,
MLM945223830,4,5.0,0,0,0,0,4,,,,,,,,,,
MLM903108859,1,4.0,0,0,0,1,0,,,,,,,,,,
MLM732132078,30,4.8,0,0,2,2,26,,,,,,,,,,
MLM1397961860,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1943861451,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1385258817,5,5.0,0,0,0,0,5,,,,,,,,,,
MLM1906780067,5,4.8,0,0,0,1,4,,,,,,,,,,
MLM790038815,7,4.9,0,0,0,1,6,,,,,,,,,,
MLM752350315,3,5.0,0,0,0,0,3,,,,,,,,,,
MLM825935880,2,5.0,0,0,0,0,2,,,,,,,,,,
MLM1503661777,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1360388577,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM802023743,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM948425848,33,4.7,0,1,1,4,27,cost-benefit,4.25,material_quality,4.25,quality_finishes,4.25,slight,4.75,storage_capacity,4.25
MLM1516931914,3,5.0,0,0,0,0,3,,,,,,,,,,
MLM1516682204,26,4.4,1,0,1,10,14,,,,,,,,,,
MLM2364989856,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM2440667650,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM945203378,4,3.5,1,0,1,0,2,,,,,,,,,,
MLM946409076,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2001232767,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM945203886,5,5.0,0,0,0,0,5,,,,,,,,,,
MLM1776403507,3,4.7,0,0,0,1,2,,,,,,,,,,
MLM907834953,6,5.0,0,0,0,0,6,,,,,,,,,,
MLM1352157763,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1531233656,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM876403663,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM810615711,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1392920536,2,5.0,0,0,0,0,2,,,,,,,,,,
MLM1926832765,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1746989757,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM773452368,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM891979292,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM946408594,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1987225683,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM774221920,4,5.0,0,0,0,0,4,,,,,,,,,,
MLM882399460,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM920220658,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1956150531,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM765695642,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1938375283,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1766900970,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM765696143,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1884853845,2,4.0,0,0,1,0,1,,,,,,,,,,
MLM1325246067,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1353826391,8,4.9,0,0,0,1,7,,,,,,,,,,
MLM753060177,12,4.8,0,0,1,0,11,,,,,,,,,,
MLM1398646582,7,4.7,0,0,1,0,6,,,,,,,,,,
MLM2427368828,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1308601581,2,5.0,0,0,0,0,2,,,,,,,,,,
MLM1373256284,3,5.0,0,0,0,0,3,,,,,,,,,,
MLM1892877529,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM887847497,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2549913414,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1369500580,15,4.8,0,0,1,1,13,,,,,,,,,,
MLM1392494994,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM751529222,1,4.0,0,0,0,1,0,,,,,,,,,,
MLM803100999,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM758231675,6,4.8,0,0,0,1,5,,,,,,,,,,
MLM2003060167,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM871918535,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM953473527,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1777534870,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM803153575,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1409307692,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1503808078,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1504423377,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1747277464,1,4.0,0,0,0,1,0,,,,,,,,,,
MLM946405463,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM756751549,5,3.8,1,0,1,0,3,,,,,,,,,,
MLM945203720,13,4.8,0,0,1,1,11,,,,,,,,,,
MLM818345617,4,5.0,0,0,0,0,4,,,,,,,,,,
MLM1392171596,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1392426177,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM916814570,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM808189696,4,5.0,0,0,0,0,4,,,,,,,,,,
MLM880475276,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1906434031,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2380514188,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM945220971,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM775505196,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1737471166,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1993721075,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM782818226,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM953473398,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM765694990,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1998141531,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM945203035,4,5.0,0,0,0,0,4,,,,,,,,,,
MLM1323739842,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM946432180,3,4.7,0,0,0,1,2,,,,,,,,,,
MLM1409493261,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1392406833,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1509401670,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM662633110,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1408908810,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM953441427,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1303029662,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1325239617,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM662359761,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM720479651,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1374221507,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1591946664,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM920223540,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1873164785,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM782536566,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1504416858,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1325246233,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1423739857,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1425993575,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2736317246,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM920223929,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM928762716,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM953448838,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1324582637,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1325220549,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1428634989,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM663292057,3,4.0,0,0,1,1,1,,,,,,,,,,
MLM1325239672,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM808280955,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1860604213,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2090030506,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM765693502,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1303141782,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1399251231,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM824870338,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM828787926,7,4.9,0,0,0,1,6,cost-benefit,4.666666666666667,material_quality,4.666666666666667,quality_finishes,4.666666666666667,slight,5.0,storage_capacity,5.0
MLM1978634195,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM2684102878,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1991102381,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1977077851,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM762653472,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1336700128,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM942820147,3,5.0,0,0,0,0,3,,,,,,,,,,
MLM790105147,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM942821037,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1335414361,6,4.2,1,0,0,1,4,,,,,,,,,,
MLM1819452261,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1359964837,2,4.5,0,0,0,1,1,,,,,,,,,,
MLM1385711259,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM762660971,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2006805327,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1339656215,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1373684209,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM880488680,4,4.5,0,0,1,0,3,,,,,,,,,,
MLM2587490762,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1510698461,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM789670202,31,4.6,0,0,4,5,22,,,,,,,,,,
MLM870427785,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1879617059,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2315399612,4,4.8,0,0,0,1,3,,,,,,,,,,
MLM1525074065,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1513125902,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM912708879,3,4.3,0,0,0,2,1,,,,,,,,,,
MLM1702721659,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1982036195,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM843956711,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1474543688,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2312481972,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1923700903,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1960575051,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1671661676,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1503973550,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1817363350,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1864091476,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1437046275,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1902547267,3,5.0,0,0,0,0,3,,,,,,,,,,
MLM1817369702,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224488594,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1963322783,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2194984806,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1481251814,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224231348,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM2758924646,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2637294726,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2548036008,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1586674254,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2764616348,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2626983790,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2317164276,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM2455151194,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2061678950,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2083666462,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1428586101,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM2224270246,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1531167774,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1947567873,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2549558422,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2549857404,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2551166634,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1898012869,1,4.0,0,0,0,1,0,,,,,,,,,,
MLM1362297836,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1881643317,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1920792989,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1932117992,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2295904818,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2676458358,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1409978478,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1898012877,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1933927757,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1950378239,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224231208,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1531104741,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1855328933,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1871449198,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1898012981,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2000895871,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1402211117,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1402217550,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1733077491,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1871866011,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1897988597,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1948200647,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1959861547,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1965121223,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1983698823,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1994726105,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224054068,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2227440318,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2549961016,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2701341538,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM2707374542,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2738731824,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224257098,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2672890184,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2549399116,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2553539766,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224257054,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224257074,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1963635349,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1913522169,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1995236687,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1915230009,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2227672926,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1980205651,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1919251049,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM864040680,17,5.0,0,0,0,0,17,,,,,,,,,,
MLM2227568990,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2546993732,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM2640808830,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2664491948,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1879178209,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2587705432,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1817351102,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1901695745,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2378208924,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1826282066,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1341621402,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1902785525,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1952844139,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2664646826,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1931000216,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2245070234,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1893936890,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1970845075,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2333142740,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2396747318,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM962156937,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1851341724,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1897988427,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1898012979,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1907292861,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1923724763,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1959674759,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1975627727,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224054064,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224257108,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2449352816,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2655769990,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM853924735,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1874911703,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1934282893,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1945437117,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1953270451,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1954464243,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2086951728,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2374513834,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2688685754,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1513941993,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1851445762,1,5.0,0,0,0,0,1,,,,,,,,,,
MLM1921626983,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1923686979,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1923731305,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1957819659,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1960071609,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1971184321,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1990873747,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224476342,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224488580,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2408119874,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2591546846,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2755821638,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1937040291,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1941254793,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1994320109,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224218156,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224231472,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2227815482,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2258488794,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2348106978,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2401196354,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2573301104,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2610699240,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM850620597,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1851241232,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1851471764,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1897988475,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1898013201,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1923602897,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1952025253,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1952075501,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1980387255,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1983446883,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1999185466,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224054026,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224054156,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224231174,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2224501938,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2227685902,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2326551192,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2436983802,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2507218288,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2648554834,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2661024980,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2700642910,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2709154360,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2746704046,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1648160491,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1811581397,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1822656659,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1851445758,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1851491264,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1856478809,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1871891853,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1875034014,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1886345317,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1897988549,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1898012865,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1918946259,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1919496305,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1937051809,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1942547585,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1943715018,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1958795618,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1962137787,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1963474215,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1966514473,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1967726939,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1974641837,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1982205501,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM1988249581,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2000284715,0,0.0,0,0,0,0,0,,,,,,,,,,
MLM2003448797,0,0.0,0,0,0,0,0,,,,,,,,,,
